code,gdp,agriculture,service,industry,inflation,unemployment
AL,12800,19.5,68.5,12,1.7,16.9
GR,243300,3.5,80.5,16,-0.8,27.9
CY,21780,2.4,81.7,15.9,0.2,17.4
AD,,,,,,
MK,10650,10.2,62.3,27.5,2.8,28.6
SRB,43680,7.9,60.3,31.8,2.2,20.1
MNE,4518,0.8,87.9,11.3,4,19.1
KOS,7150,12.9,64.5,22.6,1.8,30.9
AND,4800,14,6,79,1.1,4
F,2739000,1.9,79.4,18.7,0.9,10.2
E,1356000,3.1,70.8,26,1.8,26.3
CZ,194800,2.4,60.3,37.3,1.4,7.1
SK,96960,3.1,67,30.8,1.7,14.4
D,3593000,0.8,69,30.1,1.6,5.3
H,130600,3.4,68.7,28,1.9,10.5
I,2068000,2,73.5,24.4,1.2,12.4
CH,646200,0.7,72.5,26.8,-0.4,3.2
FL,5113,8,55,37,-0.7,2.3
A,417900,1.6,69.8,28.6,2.1,4.9
EST,24280,3.9,66.2,30,3.4,10.9
LV,30380,4.9,69.4,25.7,0.2,9.8
LT,46710,3.7,68,28.3,1.2,12.4
BY,69240,9.2,44.7,46.2,19,1
PL,513900,4,62.7,33.3,1,10.3
UA,175500,9.9,60.5,29.6,0.7,8
R,2113000,4.2,58.3,37.5,6.8,5.8
B,507400,0.8,76.6,22.6,1.3,8.8
L,60540,0.3,86.4,13.3,1.8,4.9
NL,722300,2.6,72.1,25.4,2.5,8.3
SLO,46820,2.8,68.3,28.9,1.8,13.1
HR,59140,5,69.2,25.8,2.2,21.6
BIH,18870,8.1,65.5,26.4,0.2,44.3
BG,53700,6.7,63,30.3,1.5,11.6
RO,188900,6.4,59.4,34.2,3.2,7.3
DK,324300,1.5,76.8,21.7,0.8,6
IS,14590,5.9,71.2,22.9,3.9,4.5
FO,2320,16,55,29,2.3,6.8
IRL,220900,1.6,70.4,28,0.6,13.5
SF,259600,2.9,71.9,25.1,2.2,8.1
N,515800,1.2,56.5,42.3,1.9,3.6
S,552000,2,66.8,31.3,0,8.1
MC,5748,0,90,10,1.5,2
V,,,,,,
CEU,,,,,,
MEL,,,,,,
RSM,1866,0.1,60.7,39.2,2.8,7
M,9541,1.4,73.3,25.3,1,6.4
GBM,4076,1,88,11,5,2
MD,7932,13.8,66.2,19.9,4.6,5.8
P,219300,2.6,75.2,22.2,0.4,16.8
SVA,,,,,,
GB,2490000,0.7,78.9,20.5,2,7.2
GBZ,1106,0,100,0,2.8,3
GBG,2742,3,87,10,3.4,0.9
GBJ,5100,2,96,2,3.7,1.7
ARM,10440,20.6,42.1,37.3,6.2,17.3
GE,15950,8.5,69.9,21.6,-0.5,15
AZ,76010,6.2,30.8,63,2.4,6
TR,821800,8.9,63.8,27.3,7.6,9.3
RL,43490,4.6,75.4,20,5,
WB,3700,33,60,7,14,
GAZA,1700,,,,5.7,
IL,272700,2.4,66.4,31.2,1.7,5.8
SYR,64700,17.6,60.2,22.2,59.1,17.8
JOR,34080,3.2,67,29.9,5.9,14
SA,718500,2,35.5,62.5,3.7,10.5
BRN,28360,0.3,53,46.7,3.1,15
Q,213100,0.1,27.7,72.2,3.1,0.3
UAE,390000,0.6,38.2,61.1,1.3,2.4
OM,81950,1,34.6,64.4,1.6,15
YE,43890,7.7,61.4,30.9,11.8,35
KWT,179500,0.3,49.1,50.6,2.8,3.4
IRQ,221800,3.3,32.1,64.6,2,16
IR,411900,10.6,44.5,44.9,42.3,16
AFG,20650,20,54.4,25.6,6.8,35
