code,continent,percentage
AL,Europe,100
GR,Europe,100
CY,Europe,100
AD,Europe,100
MK,Europe,100
SRB,Europe,100
MNE,Europe,100
KOS,Europe,100
AND,Europe,100
F,Europe,100
E,Europe,100
CZ,Europe,100
SK,Europe,100
D,Europe,100
H,Europe,100
I,Europe,100
CH,Europe,100
FL,Europe,100
A,Europe,100
EST,Europe,100
LV,Europe,100
LT,Europe,100
BY,Europe,100
PL,Europe,100
UA,Europe,100
R,Europe,23.15
R,Asia,76.85
B,Europe,100
L,Europe,100
NL,Europe,100
SLO,Europe,100
HR,Europe,100
BIH,Europe,100
BG,Europe,100
RO,Europe,100
DK,Europe,100
IS,Europe,100
FO,Europe,100
IRL,Europe,100
SF,Europe,100
N,Europe,100
S,Europe,100
MC,Europe,100
V,Europe,100
CEU,Africa,100
MEL,Africa,100
RSM,Europe,100
M,Europe,100
GBM,Europe,100
MD,Europe,100
P,Europe,100
SVA,Europe,100
GB,Europe,100
GBZ,Europe,100
GBG,Europe,100
GBJ,Europe,100
ARM,Asia,100
GE,Asia,100
AZ,Asia,100
TR,Europe,3
TR,Asia,97
RL,Asia,100
WB,Asia,100
GAZA,Asia,100
IL,Asia,100
SYR,Asia,100
JOR,Asia,100
SA,Asia,100
BRN,Asia,100
Q,Asia,100
UAE,Asia,100
OM,Asia,100
YE,Asia,100
KWT,Asia,100
IRQ,Asia,100
IR,Asia,100
AFG,Asia,100
TM,Asia,100
UZ,Asia,100
TJ,Asia,100
KG,Asia,100
KZ,Europe,5.4
KZ,Asia,94.6
MNG,Asia,100
MV,Asia,100
PK,Asia,100
IND,Asia,100
NEP,Asia,100
BHT,Asia,100
BD,Asia,100
MYA,Asia,100
CL,Asia,100
CN,Asia,100
RC,Asia,100
HK,Asia,100
MAC,Asia,100
KP,Asia,100
ROK,Asia,100
J,Asia,100
RP,Asia,100
VN,Asia,100
K,Asia,100
LAO,Asia,100
THA,Asia,100
MAL,Asia,100
BRU,Asia,100
SGP,Asia,100
RI,Asia,78
RI,Australia/Oceania,22
TL,Asia,100
PNG,Australia/Oceania,100
SOL,Australia/Oceania,100
VU,Australia/Oceania,100
NCL,Australia/Oceania,100
AUS,Australia/Oceania,100
CX,Australia/Oceania,100
CC,Australia/Oceania,100
NF,Australia/Oceania,100
NZ,Australia/Oceania,100
PAL,Australia/Oceania,100
MP,Australia/Oceania,100
GU,Australia/Oceania,100
FSM,Australia/Oceania,100
MH,Australia/Oceania,100
NAU,Australia/Oceania,100
KIR,Australia/Oceania,100
TUV,Australia/Oceania,100
TOK,Australia/Oceania,100
WS,Australia/Oceania,100
AS,Australia/Oceania,100
WF,Australia/Oceania,100
FJI,Australia/Oceania,100
TO,Australia/Oceania,100
NU,Australia/Oceania,100
CK,Australia/Oceania,100
PF,Australia/Oceania,100
PN,Australia/Oceania,100
ET,Asia,7.3
ET,Africa,92.7
LAR,Africa,100
TN,Africa,100
DZ,Africa,100
MA,Africa,100
WSA,Africa,100
RMM,Africa,100
RIM,Africa,100
SN,Africa,100
WAG,Africa,100
GUB,Africa,100
RG,Africa,100
SLE,Africa,100
LB,Africa,100
BF,Africa,100
CI,Africa,100
GH,Africa,100
RT,Africa,100
BEN,Africa,100
NGR,Africa,100
RN,Africa,100
TCH,Africa,100
SUD,Africa,100
SSD,Africa,100
RCA,Africa,100
CAM,Africa,100
GQ,Africa,100
G,Africa,100
RCB,Africa,100
CGO,Africa,100
ANG,Africa,100
NAM,Africa,100
RB,Africa,100
RSA,Africa,100
LS,Africa,100
SD,Africa,100
MOC,Africa,100
ZW,Africa,100
Z,Africa,100
MW,Africa,100
EAT,Africa,100
BI,Africa,100
RWA,Africa,100
EAU,Africa,100
EAK,Africa,100
SO,Africa,100
DJI,Africa,100
ETH,Africa,100
ER,Africa,100
CV,Africa,100
STP,Africa,100
SY,Africa,100
COM,Africa,100
MYT,Africa,100
RM,Africa,100
MS,Africa,100
RE,Africa,100
HELX,Africa,100
GL,North America,100
SPM,North America,100
BM,North America,100
CDN,North America,100
USA,North America,100
MEX,North America,100
BZ,North America,100
GCA,North America,100
ES,North America,100
HN,North America,100
NIC,North America,100
CR,North America,100
PA,North America,100
BS,North America,100
TUCA,North America,100
CYM,North America,100
C,North America,100
JA,North America,100
RH,North America,100
DOM,North America,100
PR,North America,100
VIRG,North America,100
BVI,North America,100
AXA,North America,100
SMAR,North America,100
SX,North America,100
SBAR,North America,100
KN,North America,100
AG,North America,100
MNTS,North America,100
GP,North America,100
WD,North America,100
MQ,North America,100
WL,North America,100
BDS,North America,100
WV,North America,100
WG,North America,100
TT,North America,100
NLB,South America,100
CUR,South America,100
ARU,South America,100
YV,South America,100
GUY,South America,100
SME,South America,100
GF,South America,100
CO,South America,100
EC,South America,100
PE,South America,100
BOL,South America,100
RCH,South America,100
RA,South America,100
PY,South America,100
ROU,South America,100
BR,South America,100
FALK,South America,100
