code,language,percentage
AL,Albanian,98.8
AL,Greek,0.5
AL,Roma,0.3
AL,Aromanian,0.3
AL,Macedonian,0.2
GR,Greek,92
GR,Albanian,4
GR,Roma,2
GR,Macedonian,1
GR,Turkish,1
GR,Aromanian,0.4
CY,Greek,61
CY,Turkish,24
CY,English,3
CY,Romanian,2.2
CY,Bulgarian,1.8
CY,Arabic,1.2
CY,Filipino,0.9
AD,Greek,60
AD,English,40
MK,Macedonian,66.5
MK,Albanian,25.1
MK,Turkish,3.5
MK,Roma,1.9
MK,Serbo-Croatian,1.6
MK,Aromanian,0.35
SRB,Serbo-Croatian,90
SRB,Hungarian,3.4
SRB,Roma,1.4
SRB,Slovak,0.7
SRB,Aromanian,0.5
SRB,Bulgarian,0.3
MNE,Serbo-Croatian,86.5
MNE,Albanian,5.3
MNE,Roma,0.8
KOS,Albanian,94.5
KOS,Serbo-Croatian,3.3
KOS,Roma,1.4
KOS,Turkish,1.1
AND,Catalan,54.8
AND,Spanish,16.1
AND,Portuguese,13
AND,French,7
AND,Arabic,3
AND,Galician,2
F,French,87.2
F,Arabic,3.6
F,Berber,3.4
F,Spanish,1.2
F,Italian,1.2
F,Portuguese,1.1
F,Occitan,1.0
F,Alsatian,0.8
F,English,0.5
F,Vietnamese,0.5
F,Breton,0.3
F,Turkish,0.3
F,Kurdish,0.3
F,Corsu,0.2
F,Catalan,0.1
F,Basque,0.1
E,Spanish,69
E,Catalan,14.6
E,Galician,6
E,Arabic,2.0
E,Romanian,1.8
E,Basque,1.7
E,Roma,1.6
E,Berber,1.5
E,English,0.8
CZ,Czech,95.4
CZ,Slovak,1.6
SK,Slovak,78.6
SK,Hungarian,9.4
SK,Roma,2.3
SK,Ukrainian,1
D,German,90
D,Turkish,1.8
D,Arabic,1.5
D,Ukrainian,1.4
D,Romanian,1.0
D,Roma,0.8
D,Russian,0.5
D,Kurdish,0.3
H,Hungarian,99
I,Italian,90
I,Sardu,1.6
I,Romanian,1.4
I,Arabic,1
I,Albanian,0.8
I,German,0.6
I,Friulian,0.5
I,Chinese,0.5
I,French,0.2
I,Occitan,0.2
I,Slovenian,0.2
I,Roma,0.2
I,Ladin,0.06
CH,German,62.8
CH,French,22.9
CH,Italian,8.2
CH,Romansh,0.8
FL,German,91.5
FL,Portuguese,1.9
FL,Italian,1.5
FL,Turkish,1.3
FL,Albanian,1.1
A,German,92.6
A,Serbo-Croatian,4.2
A,Turkish,2.3
A,Hungarian,0.5
A,Polish,0.35
A,Albanian,0.35
A,Slovenian,0.3
A,Arabic,0.2
EST,Estonian,68.5
EST,Russian,29.6
EST,Ukrainian,0.6
LV,Latvian,56.3
LV,Russian,33.8
LT,Lithuanian,82
LT,Russian,8
LT,Polish,5.6
BY,Russian,70.2
BY,Belorussian,23.4
PL,Polish,98.2
PL,German,0.3
UA,Ukrainian,67.5
UA,Russian,29.6
UA,Romanian,0.7
UA,Belorussian,0.6
UA,Crimean Tatar,0.6
UA,Bulgarian,0.5
UA,Hungarian,0.4
UA,Polish,0.3
UA,Yiddish,0.2
R,Russian,83
R,Tatar,3.8
R,Ukrainian,1.4
R,Chuvash,1.1
R,Bashkir,1.0
R,Chechen,1.0
R,Armenian,0.86
R,Avaric,0.6
R,Mongolian,0.6
R,Circassian,0.6
R,Azerbaijani,0.44
R,Dargwa,0.4
R,Ossetian,0.38
R,Mari,0.32
R,Kazakh,0.3
R,Yakut,0.3
R,Ingush,0.3
R,Lezgian,0.3
R,Erzya,0.3
R,Buryat,0.25
R,Uzbek,0.2
R,German,0.2
R,Udmurt,0.15
R,Komi,0.15
R,Kalmyk,0.1
R,Evenki,0.02
R,Khanty,0.01
B,Dutch,55
B,French,39
B,Arabic,3
B,Italian,2
B,Turkish,1
B,German,0.7
L,Luxembourgish,55.8
L,Portuguese,15.7
L,French,12.1
L,German,3.1
L,Italian,2.9
L,English,2.1
NL,Dutch,85
NL,Frisian,2.5
NL,Malay,2
NL,Arabic,2
NL,Turkish,1.5
NL,Polish,1
NL,Berber,1
NL,Kurdish,0.3
SLO,Slovenian,92
SLO,Serbo-Croatian,4.5
SLO,Hungarian,0.4
SLO,Albanian,0.4
SLO,Italian,0.2
SLO,Roma,0.2
HR,Serbo-Croatian,96.8
HR,Roma,0.4
BIH,Serbo-Croatian,98.3
BG,Bulgarian,85
BG,Turkish,9.1
BG,Roma,4.2
RO,Romanian,91
RO,Hungarian,6.3
RO,Roma,1.2
RO,Ukrainian,0.3
RO,Turkish,0.15
RO,German,0.1
RO,Russian,0.1
RO,Crimean Tatar,0.1
RO,Aromanian,0.1
DK,Danish,98
DK,German,0.5
IS,Icelandic,93.2
IS,Lithuanian,0.43
IS,English,0.32
IS,German,0.31
IS,Danish,0.31
FO,Faroese,93.8
FO,Danish,3.2
IRL,English,95
IRL,Polish,2.3
IRL,Irish,2
IRL,Lithuanian,0.7
IRL,Romanian,0.7
IRL,Latvian,0.3
IRL,Arabic,0.3
IRL,Malayalam,0.2
IRL,Yoruba,0.2
IRL,Igbo,0.1
SF,Finnish,87.6
SF,Swedish,5.2
SF,Russian,1.4
SF,Estonian,0.9
SF,Arabic,0.5
SF,Somali,0.4
SF,English,0.4
SF,Sami,0.05
N,Norwegian,99
N,Sami,0.3
S,Swedish,82
S,Arabic,3.5
S,Finnish,1.4
S,Polish,0.7
S,Sami,0.1
MC,French,50
MC,Italian,22
MC,English,8.5
MC,German,4.0
MC,Russian,2.0
MC,Greek,1
V,Latin,
V,Italian,
CEU,Spanish,
CEU,Arabic,
CEU,Berber,
MEL,Spanish,
MEL,Berber,
MEL,Arabic,
RSM,Italian,99
M,Maltese,88
M,Italian,8
M,English,2
GBM,English,100
MD,Romanian,78.6
MD,Russian,14.5
MD,Gagauz,2.7
MD,Ukrainian,2.7
MD,Bulgarian,1.0
MD,Roma,0.3
P,Portuguese,97
P,Ukrainian,0.5
P,Romanian,0.4
SVA,Norwegian,58
GB,English,88
GB,Scots,2.5
GB,Welsh,1.5
GB,Polish,1.0
GB,Punjabi,0.5
GB,Urdu,0.5
GB,Bengali,0.4
GB,Gujarati,0.4
GB,Arabic,0.3
GB,French,0.3
GB,Chinese,0.3
GB,Portuguese,0.2
GB,Spanish,0.2
GB,Tamil,0.2
GB,Turkish,0.2
GB,Italian,0.2
GB,Somali,0.2
GB,Lithuanian,0.2
GB,Irish,0.1
GB,Scottish Gaelic,0.1
GBZ,Llanito,
GBZ,English,
GBZ,Spanish,
GBG,English,
GBJ,English,94.5
GBJ,Portuguese,4.6
ARM,Armenian,97.9
ARM,Kurdish,1
ARM,Russian,0.6
GE,Georgian,87.6
GE,Azerbaijani,6.2
GE,Armenian,3.9
GE,Abkhaz,2.5
GE,Ossetian,1.5
GE,Russian,1.2
